Order,Lot Area,Overall Qual,Overall Cond,Central Air,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Paved Drive,Wood Deck SF,SalePrice,TotalSF,TotalFloorSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE
50,7132,8,5,1,2,1,6,1,2,120,205000,2740.0,1370,2.0,1,1,1,0,0,1,1,0,0,0,1
51,2628,7,5,1,2,1,6,0,2,0,175500,2390.0,1626,2.5,1,1,1,0,0,1,1,0,0,1,0
52,18494,6,5,1,3,1,6,0,2,36,199500,2648.0,1324,2.0,1,1,1,0,0,1,1,0,0,0,0
53,3203,7,5,1,2,1,6,0,2,100,160000,2290.0,1145,2.0,1,1,1,0,0,1,1,0,0,0,1
54,3182,8,5,1,2,1,6,1,2,146,192000,2525.0,1269,2.0,1,1,1,0,1,1,1,0,0,0,1
55,13300,7,5,1,3,1,7,1,2,100,184500,1758.0,1374,3.5,1,1,0,0,0,1,1,0,0,0,0
56,7851,6,5,1,4,1,8,2,2,288,216500,2820.0,1960,3.5,1,1,1,0,0,1,1,0,0,0,0
57,8577,7,5,1,3,1,7,1,2,144,185088,2580.0,1733,2.5,1,1,1,0,0,1,1,0,0,0,0
58,7750,7,5,1,3,1,7,1,2,180,180000,1814.0,1430,2.5,1,1,0,0,0,0,1,0,0,0,0
59,9505,7,5,1,3,1,8,1,2,144,222500,2919.0,2035,2.5,1,1,1,0,0,1,1,0,0,0,0
60,14774,9,5,1,4,1,10,1,2,668,333168,3992.0,2599,2.5,1,1,1,0,0,0,1,0,0,0,0
61,17433,8,5,1,4,1,7,1,2,23,355000,4104.0,2475,2.5,1,1,1,0,0,0,1,0,0,0,0
62,10593,7,5,1,3,1,7,1,2,240,260400,3440.0,1720,3.0,1,1,1,0,0,0,1,0,0,0,0
63,12256,8,5,1,3,1,9,2,2,186,325000,4085.0,2622,3.5,1,1,1,0,1,0,1,0,0,0,0
64,11764,8,7,1,4,1,9,1,2,132,290000,3422.0,2270,2.5,1,1,1,0,1,0,1,0,0,0,0
65,16770,7,5,1,4,1,7,0,2,0,221000,3034.0,1839,2.5,1,1,1,0,0,0,1,0,0,0,0
66,14720,8,5,1,4,1,9,1,2,283,410000,5271.0,3238,3.5,1,1,1,0,1,0,1,0,0,0,0
67,8987,8,5,1,2,1,6,1,2,144,221500,3190.0,1595,2.0,1,1,0,0,1,1,1,0,0,0,0
68,9215,7,5,1,2,1,4,0,2,0,204500,2436.0,1218,2.0,1,1,1,0,1,1,0,0,0,0,0
69,8640,7,5,1,3,1,7,0,2,169,215200,2303.0,1547,2.5,1,1,1,0,0,1,1,0,0,0,0
70,9000,8,5,1,3,1,7,0,2,144,262500,3132.0,1566,3.0,1,1,1,0,0,1,1,0,0,0,0
71,12552,7,5,1,3,1,8,1,2,0,254900,2938.0,1947,2.5,1,1,1,0,1,1,1,0,0,0,0
72,10440,6,5,1,2,1,6,1,2,0,271500,2936.0,1468,3.0,1,1,1,0,0,1,1,0,0,0,0
73,10142,7,5,1,4,1,8,0,2,0,233000,3040.0,2084,3.5,1,1,1,0,0,1,1,0,0,0,0
74,11920,7,5,1,3,1,8,0,2,144,181000,2490.0,1659,2.5,1,1,1,0,0,1,1,0,0,0,0
75,8880,7,5,1,3,1,8,2,2,0,205000,3058.0,2110,3.5,1,1,1,0,1,0,1,0,0,0,0
76,8012,6,5,1,2,1,5,1,2,80,143000,1846.0,923,2.0,1,1,0,0,0,0,1,0,0,0,1
77,11218,6,5,1,3,1,8,1,2,635,189000,2900.0,1845,2.5,1,1,1,0,0,0,1,0,0,0,0
78,7892,6,5,1,2,1,5,1,2,28,99500,1836.0,918,2.0,1,1,0,0,0,0,1,0,0,0,1
79,7175,6,5,1,2,1,4,0,2,353,125000,1496.0,752,2.0,1,1,1,0,0,0,1,0,0,0,1
80,9453,7,7,1,3,1,7,0,2,370,194500,2740.0,1744,2.5,1,1,1,0,1,0,1,0,0,0,0
81,9672,6,5,1,3,1,6,0,2,0,152000,2137.0,1097,2.0,1,1,0,0,1,0,1,0,0,0,0
82,8400,6,6,1,3,1,7,1,2,0,171000,2214.0,1564,2.5,1,1,1,0,1,0,1,0,0,0,0
83,9800,5,5,0,2,1,5,0,2,121,67500,1828.0,1012,1.0,1,1,1,0,1,0,1,0,0,0,0
84,8930,6,5,1,4,2,8,0,2,0,112000,1902.0,1902,2.0,0,1,0,0,0,0,1,0,1,0,0
85,11782,5,7,1,3,1,6,0,2,192,148000,2264.0,1155,2.0,1,1,0,0,1,0,1,0,0,0,0
86,8450,5,8,1,3,1,5,1,2,416,138500,1788.0,894,2.0,1,1,1,0,1,0,1,0,0,0,0
87,9819,5,5,1,3,1,5,0,2,0,122000,1782.0,900,1.0,1,1,0,0,0,0,1,0,0,0,0
88,7500,5,5,1,3,1,5,0,2,0,133000,2080.0,1040,2.5,1,1,1,0,0,0,1,0,0,0,0
89,6897,5,8,1,3,1,6,0,2,0,127000,2080.0,1040,2.5,1,1,1,0,1,0,1,0,0,0,0
90,15410,6,6,1,3,1,7,2,2,296,169000,2702.0,1494,3.0,1,1,1,0,1,0,1,0,0,0,0
91,10186,7,5,1,3,1,8,1,2,240,190000,2673.0,1923,3.5,1,1,1,0,0,0,1,0,0,0,0
92,13143,8,5,1,4,1,9,1,2,32,362500,3580.0,2349,3.5,1,1,1,0,0,0,1,0,0,0,0
93,11134,8,5,1,4,1,7,1,2,198,285000,3615.0,2225,3.5,1,1,1,0,1,0,1,0,0,0,0
94,4835,7,5,1,2,1,6,1,2,168,260000,2976.0,1488,3.0,1,1,1,0,1,1,1,0,0,0,1
95,3515,7,5,1,2,1,3,0,2,0,190000,2520.0,1680,2.5,1,1,1,0,0,1,1,0,0,0,1
96,3215,7,5,1,2,1,4,0,2,0,155000,1800.0,1200,2.5,1,1,1,0,0,1,1,0,0,0,1
97,3182,7,5,1,2,1,4,0,2,0,151000,1800.0,1200,2.5,1,1,1,0,1,1,1,0,0,0,1
98,2544,7,5,1,2,1,4,0,2,0,149500,1800.0,1200,3.5,1,1,1,0,1,1,1,0,0,1,0
99,2544,6,5,1,2,1,4,0,2,0,152000,1836.0,1236,3.5,1,1,1,0,0,1,1,0,0,1,0
100,4403,7,5,1,2,1,7,1,2,0,222000,2948.0,1478,3.5,1,1,1,0,0,1,0,0,0,0,0
101,2117,6,5,1,3,1,5,0,2,0,177500,2329.0,1573,2.5,1,1,1,0,0,0,1,0,0,1,0
102,2980,6,5,1,2,1,5,0,2,0,177000,2268.0,1512,3.5,1,1,1,0,0,0,1,0,0,0,1
103,2572,7,5,1,3,1,6,0,2,0,155000,2112.0,1416,3.5,1,1,1,0,0,0,1,0,0,1,0
104,2403,7,5,1,2,1,4,0,2,0,147110,1610.0,1080,2.5,1,1,1,0,0,1,1,0,0,0,1
105,12853,8,5,1,1,1,6,1,2,160,267916,3060.0,1418,2.5,1,1,1,0,0,1,0,0,0,0,0
106,7379,8,5,1,3,1,7,1,2,280,254000,2823.0,1848,3.5,1,1,1,0,0,0,1,0,0,0,0
107,4420,8,5,1,1,1,3,1,2,133,155000,1516.0,788,2.0,1,1,1,0,0,0,1,0,0,0,1
108,3880,8,6,1,1,1,4,1,2,223,206000,2452.0,1226,2.0,1,1,1,0,0,0,1,0,0,1,0
109,13517,6,8,1,3,1,6,0,2,0,130500,2204.0,1479,2.5,1,1,1,0,1,0,1,0,0,0,0
110,8000,7,5,1,3,1,6,1,2,277,230000,2984.0,1492,3.0,1,1,1,0,0,1,1,0,0,0,0
111,10456,6,6,1,4,1,8,0,2,0,218500,3658.0,1829,3.0,1,1,1,0,0,0,1,0,0,0,0
112,10791,6,5,1,4,1,9,1,2,224,243500,3775.0,2495,3.5,1,1,1,0,0,0,1,0,0,0,0
113,10603,6,7,1,3,1,6,2,2,168,205000,3220.0,1610,3.0,1,1,1,0,1,0,1,0,0,0,0
114,18837,6,5,1,3,1,7,1,2,0,212500,3115.0,1891,3.5,1,1,1,0,0,0,1,0,0,0,0
115,10421,7,5,1,3,1,7,1,2,228,196500,2694.0,1714,2.5,1,1,1,0,0,0,1,0,0,0,0
116,9360,6,7,1,3,1,5,1,2,0,197500,2542.0,1381,2.5,1,1,0,0,1,0,1,0,0,0,0
117,9600,6,6,1,4,1,7,0,2,0,171000,2360.0,1645,2.0,1,1,1,0,0,0,1,0,0,0,0
118,9600,5,5,1,3,1,6,0,2,0,142250,2464.0,1232,2.5,1,1,1,0,0,0,1,0,0,0,0
119,9790,6,5,1,3,1,6,2,2,0,143000,2656.0,1328,2.5,1,1,1,0,0,0,1,0,0,0,0
120,9320,4,5,1,3,1,6,0,2,352,128950,2175.0,1225,2.5,1,0,0,0,0,0,1,0,0,0,0
121,9900,5,5,1,3,1,6,0,2,0,159000,2418.0,1209,2.0,1,1,1,0,0,0,1,0,0,0,0
122,9680,5,6,1,3,1,6,0,2,0,178900,3020.0,1510,3.0,1,1,1,0,0,0,1,0,0,0,0
123,10600,6,5,1,3,1,8,0,2,0,136300,2308.0,1775,2.0,1,1,1,0,0,0,1,0,0,0,0
124,14112,5,7,1,3,1,6,1,2,227,180500,2304.0,1152,2.0,1,1,0,0,0,0,1,0,0,0,0
125,8800,6,7,1,3,1,6,0,2,120,137500,1990.0,1054,2.0,1,1,0,0,0,0,1,0,0,0,0
126,13260,5,6,1,6,2,10,0,2,0,84900,3456.0,1728,4.0,1,0,0,0,1,0,1,0,1,0,0
127,9717,5,6,1,2,1,5,0,2,366,142125,2156.0,1078,2.0,1,1,1,0,1,0,1,0,0,0,0
128,9724,5,7,1,3,1,7,2,2,0,197600,3601.0,2461,2.0,1,1,0,0,1,0,1,0,0,0,0
129,17360,6,6,1,3,1,6,1,2,0,172500,2338.0,1556,2.0,1,1,1,0,1,0,1,0,0,0,0
130,7207,5,7,1,2,1,4,0,2,117,116500,1716.0,858,2.0,1,0,0,0,1,0,1,0,0,0,0
131,5350,3,2,1,3,1,6,0,2,263,76500,2034.0,1306,1.0,1,0,0,0,1,0,1,0,0,0,0
132,9920,5,5,1,3,1,6,0,2,0,128000,2119.0,1063,2.0,1,1,1,0,0,0,1,0,0,0,0
133,9600,6,6,1,3,1,7,2,2,0,153000,2676.0,1520,2.0,1,1,1,0,1,0,1,0,0,0,0
134,7800,5,6,1,2,1,7,1,2,0,132000,2536.0,1268,1.0,1,1,1,0,0,0,1,0,0,0,0
135,11380,6,8,1,2,1,5,1,2,238,178000,2208.0,1128,2.0,1,1,0,0,1,0,1,0,0,0,0
136,11600,5,5,1,5,2,12,0,2,0,154300,3379.0,2274,2.0,1,1,0,0,0,0,1,0,1,0,0
137,19900,7,5,1,3,1,7,1,2,301,180000,4154.0,2207,3.0,1,1,0,0,1,0,1,0,0,0,0
138,16492,6,6,1,2,1,6,1,2,0,190000,3405.0,1888,2.5,1,1,0,0,1,0,1,0,0,0,0
139,8267,5,5,1,4,2,8,0,2,42,135000,3208.0,1604,2.0,1,1,0,0,0,0,1,0,1,0,0
140,8197,7,5,1,3,1,7,0,2,252,214000,2960.0,1480,3.0,1,1,1,0,1,1,1,0,0,0,0
141,8050,5,5,1,3,1,6,0,2,0,136000,2286.0,1143,2.0,1,1,0,0,0,0,1,0,0,0,0
142,10552,5,5,1,4,1,6,1,2,0,165500,3098.0,1700,2.0,1,1,1,0,0,0,1,0,0,0,0
143,8400,5,6,1,3,1,5,0,2,250,145000,2628.0,1314,2.0,1,1,0,0,0,0,1,0,0,0,0
144,8760,6,6,1,3,1,6,0,2,0,148000,2388.0,1194,2.0,1,1,1,0,0,0,1,0,0,0,0
145,12160,5,5,1,3,1,6,0,2,0,142000,2376.0,1188,2.0,1,1,0,0,0,0,1,0,0,0,0
146,9300,5,5,1,3,1,6,2,2,0,167500,2532.0,1264,2.0,1,1,1,0,0,0,1,0,0,0,0
147,10725,5,5,1,3,1,6,0,2,0,108538,2412.0,1206,1.0,1,1,1,0,0,0,1,0,0,0,0
148,10032,6,5,1,3,1,6,2,2,0,159500,2824.0,1580,2.5,1,1,1,0,0,0,1,0,0,0,0
149,8382,4,5,1,3,1,5,0,2,0,108000,2169.0,1337,1.0,1,1,0,0,0,0,1,0,0,0,0
150,10950,5,7,1,2,1,4,0,2,0,135000,1928.0,1064,1.5,1,1,0,0,0,0,1,0,0,0,0
151,10895,5,6,1,3,1,5,0,2,0,122500,1944.0,972,1.0,1,1,1,0,0,0,1,0,0,0,0
152,13587,5,5,1,2,1,5,0,2,0,119000,1976.0,988,2.0,1,1,0,0,0,0,1,1,0,0,0
153,7922,5,7,1,3,1,5,0,2,0,109000,2114.0,1057,2.0,1,1,1,0,1,0,1,0,0,0,0
154,7898,4,7,1,2,1,4,0,0,0,105000,1561.0,985,1.5,1,1,0,0,1,0,1,0,0,0,0
155,7200,5,7,1,2,1,5,1,2,0,107500,827.0,827,1.0,0,1,0,0,1,0,1,0,0,0,0
156,10200,5,7,1,3,1,6,0,2,0,144900,2172.0,1086,2.0,1,1,0,0,1,0,1,0,0,0,0
157,5868,5,7,1,2,1,4,0,2,0,129000,1872.0,936,2.0,1,1,1,0,1,0,1,0,0,0,0
158,17503,6,5,1,3,1,6,1,2,192,97500,2370.0,1458,1.5,1,1,0,0,1,0,1,0,0,0,0
159,6979,6,5,1,0,2,4,0,2,264,144000,2112.0,1056,2.0,1,1,1,0,0,0,1,0,1,0,0
160,9830,5,7,1,3,1,7,1,2,364,162000,2350.0,1287,2.0,1,1,1,0,1,0,1,0,0,0,0
161,11275,7,7,1,5,1,11,1,2,240,242000,3688.0,2978,2.5,1,1,0,0,1,0,1,0,0,0,0
162,8064,6,8,1,3,1,5,0,2,414,132000,2040.0,1224,2.0,1,1,0,0,1,0,1,0,0,0,0
163,7500,5,7,1,3,1,6,0,2,218,154000,2492.0,1246,2.5,1,1,0,0,1,0,1,0,0,0,0
164,8520,5,4,1,4,1,6,0,2,0,166000,2295.0,1385,2.0,1,1,0,0,0,0,1,0,0,0,0
165,7200,5,7,1,3,1,5,0,2,222,134800,1800.0,900,1.5,1,1,1,0,1,0,1,0,0,0,0
166,10000,6,6,1,3,1,5,0,2,0,160000,2232.0,1116,1.5,1,1,1,0,0,0,1,0,0,0,0
167,7635,5,6,1,3,1,6,0,2,0,148000,2350.0,1175,1.5,1,1,0,0,0,0,1,0,0,0,0
168,9760,6,7,1,2,1,7,1,2,657,192000,2790.0,1395,2.0,1,1,1,0,1,0,1,0,0,0,0
169,7700,6,5,1,4,1,7,1,2,0,155000,2595.0,1839,1.5,1,1,1,0,0,0,1,0,0,0,0
170,4800,4,5,1,3,1,9,2,2,84,80400,2553.0,1844,2.0,1,1,0,0,1,0,1,0,0,0,0
171,8800,4,7,1,3,1,7,0,0,0,96500,1716.0,1140,1.0,1,0,1,0,1,0,1,0,0,0,0
172,4485,5,7,1,2,1,5,1,1,51,109500,1872.0,936,2.0,1,0,1,0,1,0,1,0,0,0,0
173,8960,5,6,1,2,1,5,1,2,0,115000,2036.0,1028,1.0,1,1,1,0,1,0,1,0,0,0,0
174,5805,5,7,1,3,1,6,0,2,0,143000,2694.0,1347,2.5,1,1,0,0,0,0,1,0,0,0,0
175,5790,3,6,0,3,2,8,0,2,0,107400,2445.0,1605,2.0,1,1,1,0,1,0,1,0,0,0,0
176,4608,4,6,1,2,1,4,0,2,0,80000,1494.0,747,1.0,1,1,0,0,1,0,1,0,0,0,0
177,7200,5,7,1,2,1,4,2,2,0,119000,1592.0,804,2.0,1,1,1,0,1,0,1,0,0,0,0
178,5500,5,7,1,3,1,6,0,2,0,130000,2242.0,926,2.0,1,1,0,0,1,0,1,0,0,0,0
179,6900,6,7,1,3,1,6,0,0,0,119000,2078.0,1251,1.0,1,1,0,0,1,0,1,0,0,0,0
180,11851,5,7,1,3,1,7,1,2,0,129000,2660.0,1633,1.0,1,1,1,0,1,0,1,0,0,0,0
181,8239,5,6,1,3,1,6,0,2,0,100000,2253.0,1245,1.0,1,1,1,0,1,0,1,0,0,0,0
182,9656,2,2,0,2,1,5,1,0,0,12789,1510.0,832,1.0,1,1,0,0,1,0,1,0,0,0,0
183,8520,6,8,1,2,1,5,0,2,106,105900,1344.0,720,1.0,1,1,0,0,1,0,1,0,0,0,0
184,9600,8,9,0,3,1,7,0,2,54,150000,2496.0,1566,2.0,1,1,1,0,1,0,1,0,0,0,0
185,10800,5,6,1,4,1,7,0,2,0,139000,2338.0,1652,3.0,1,1,1,0,1,0,1,0,0,0,0
186,9000,8,9,1,3,1,7,0,0,0,240000,2614.0,2268,3.0,1,1,1,0,1,0,1,0,0,0,0
187,9045,5,3,0,4,2,12,0,0,0,76500,3096.0,2256,2.0,1,0,1,0,1,0,1,1,0,0,0
188,7407,6,7,1,2,1,6,0,2,0,149700,2148.0,1236,2.0,1,1,1,0,1,0,1,0,0,0,0
189,7740,4,7,1,3,1,6,0,2,0,125500,1985.0,1363,1.0,1,1,1,0,1,0,1,0,0,0,0
190,11340,4,6,1,4,2,11,0,0,0,122500,3067.0,2290,2.0,1,1,1,0,1,0,1,1,0,0,0
191,10560,6,7,1,2,1,6,0,2,0,140750,2208.0,1470,1.5,1,1,0,0,1,0,1,0,0,0,0
192,5830,5,6,1,3,1,7,0,2,0,128500,2600.0,1612,1.5,1,1,0,0,1,0,1,0,0,0,0
193,7793,7,7,0,3,1,8,1,2,0,209500,3176.0,2068,1.5,1,1,1,0,1,0,1,0,0,0,0
194,5000,4,7,0,2,1,4,0,1,135,87000,1530.0,765,2.0,1,1,1,0,1,0,1,0,0,0,0
195,6000,6,7,1,2,1,5,0,2,0,134000,1740.0,1132,2.0,1,1,1,0,1,0,1,0,0,0,0
196,6000,6,6,1,3,1,6,2,2,0,128000,1768.0,1196,2.0,1,1,0,0,1,0,1,0,0,0,0
197,6360,5,6,1,3,1,7,2,2,0,132000,2288.0,1453,1.5,1,1,1,0,1,0,1,0,0,0,0
198,6000,6,7,1,3,1,6,0,1,221,139900,2196.0,1416,1.5,1,1,1,0,1,0,1,0,0,0,0
199,6240,5,7,1,2,1,5,0,1,306,123900,1568.0,1040,1.0,1,1,1,0,1,0,1,0,0,0,0
200,6240,5,5,1,4,1,7,1,2,0,138400,2464.0,1536,2.0,1,1,1,0,1,0,1,0,0,0,0
201,6120,6,5,1,2,1,5,1,2,0,109500,2192.0,1068,2.0,1,1,1,0,1,0,1,0,0,0,0
202,10300,7,6,1,3,1,9,0,2,12,140000,2286.0,1710,2.0,1,1,1,0,1,0,1,0,0,0,0
203,8094,4,5,1,4,1,9,1,2,160,149500,2850.0,1962,1.5,1,1,1,0,1,0,1,0,0,0,0
204,12900,6,8,1,3,1,7,0,0,344,159900,2340.0,1560,1.5,1,0,1,0,1,0,1,0,0,0,0
205,3068,6,8,1,3,1,6,0,2,0,122000,1986.0,1324,1.5,1,1,1,0,1,0,1,0,0,0,0
206,8472,5,5,0,2,1,5,0,2,106,110000,1632.0,816,2.0,1,1,0,0,0,0,1,0,1,0,0
207,5600,4,5,0,3,2,7,0,0,0,55000,1092.0,1092,2.0,0,0,0,0,1,0,1,1,0,0,0
208,7630,5,9,1,4,2,8,1,0,344,140000,2172.0,1812,2.0,1,1,1,0,1,0,1,1,0,0,0
209,24090,7,7,1,4,1,10,2,2,56,244400,3435.0,2403,2.0,1,1,1,0,1,0,1,0,0,0,0
210,15263,5,5,1,3,1,8,2,2,0,173000,3097.0,1675,2.0,1,1,1,0,0,0,1,0,0,0,0
211,10632,5,3,0,3,1,6,0,0,0,107500,1913.0,1224,1.5,1,1,1,0,1,0,1,0,0,0,0
212,9900,5,4,0,3,1,6,0,0,0,100000,2604.0,1392,2.0,1,0,1,0,1,0,1,1,0,0,0
213,6001,6,5,0,3,1,5,0,2,0,95000,1519.0,919,1.0,1,1,1,0,1,0,1,0,0,0,0
214,6449,4,1,0,4,1,7,0,0,0,93369,2591.0,1884,1.5,1,0,1,0,1,0,1,0,0,0,0
215,6048,5,7,1,2,2,7,1,1,56,114900,2536.0,1680,3.0,1,1,1,0,1,0,1,1,0,0,0
216,6342,5,8,0,2,1,6,0,0,0,94000,1800.0,1020,1.0,1,0,1,0,1,0,1,0,0,0,0
217,10773,4,3,0,4,2,8,0,2,0,136000,3664.0,1832,4.0,1,0,1,0,0,0,1,0,1,0,0
218,10778,4,5,0,4,2,8,0,2,0,136500,3536.0,1768,2.0,1,0,0,0,0,0,1,0,1,0,0
219,11625,5,4,1,3,1,6,0,2,0,131500,2078.0,1039,2.5,1,1,0,0,0,0,1,1,0,0,0
220,11341,5,6,1,3,1,5,1,2,0,121500,2784.0,1392,2.5,1,1,1,0,1,0,1,0,0,0,0
221,8521,5,5,1,3,1,5,1,2,0,125000,1824.0,912,1.0,1,1,0,0,0,0,1,0,0,0,0
222,8246,5,8,1,3,1,6,1,2,406,154000,2120.0,1060,2.0,1,1,1,0,1,0,1,0,0,0,0
223,7800,5,7,1,3,1,5,0,2,0,137900,1756.0,892,2.0,1,1,0,0,1,0,1,0,0,0,0
224,9364,6,7,1,4,1,7,0,2,379,158000,2015.0,1352,1.5,1,1,1,0,0,0,1,0,0,0,0
225,7832,5,5,1,2,1,4,0,2,226,137250,1728.0,864,2.0,1,1,0,0,0,0,1,0,0,0,0
226,7424,5,5,1,3,1,5,2,2,0,160250,2692.0,1373,2.0,1,1,0,0,0,0,1,0,1,0,0
